
State,First_Year,Last_Year,Injury_Intent,Race_Ethnicity,Gender,Total_Deaths,Population,Age_Adjusted_Rate_per_ 100000
Hawaii,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,,188159,
Hawaii,2016,2020,Firearm Suicide,non-Hispanic Black,Male,,112377,
Hawaii,2016,2020,Firearm Suicide,non-Hispanic Black,Female,,75782,
Hawaii,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,81,1809322,3.80902
Hawaii,2016,2020,Firearm Suicide,non-Hispanic white,Male,72,964792,6.48423
Hawaii,2016,2020,Firearm Suicide,non-Hispanic white,Female,,844530,
Hawaii,2016,2020,Firearm Suicide,Latinx,All Genders,11,754437,
Hawaii,2016,2020,Firearm Suicide,Latinx,Male,,387020,
Hawaii,2016,2020,Firearm Suicide,Latinx,Female,,367417,
Hawaii,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,,,
Hawaii,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,,,
Hawaii,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,,,
Hawaii,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,73,4329833,1.62721
Hawaii,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,67,2083429,3.13792
Hawaii,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,2246404,
Idaho,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,1392,8768269,15.919989585876465
Idaho,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,1180,4395119,26.96558952331543
Idaho,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,212,4373150,4.9977498054504395
Idaho,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,,91418,
Idaho,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,,51591,
Idaho,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,,,
Idaho,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,1255,7289900,16.8518
Idaho,2016,2020,All Firearm Deaths,non-Hispanic white,Male,1057,3640855,28.4661
Idaho,2016,2020,All Firearm Deaths,non-Hispanic white,Female,198,3649045,5.53615
Idaho,2016,2020,All Firearm Deaths,Latinx,All Genders,100,1112805,9.27371
Idaho,2016,2020,All Firearm Deaths,Latinx,Male,92,573597,16.38387
Idaho,2016,2020,All Firearm Deaths,Latinx,Female,,539208,
Idaho,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,28,111613,26.63948
Idaho,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,22,55613,41.12303
Idaho,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,,56000,
Idaho,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,,162533,
Idaho,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,,73463,
Idaho,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,,,
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,149,8768269,1.825600028038025
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,111,4395119,2.7022
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,38,4373150,0.93403
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,,91418,
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,,51591,
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,,,
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,112,7289900,1.63215
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,78,3640855,2.26821
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,34,3649045,0.97406
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,All Genders,30,1112805,2.79093
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Male,26,573597,4.62666
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Female,,539208,
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,,111613,
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,,55613,
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,,,
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,,,
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,,,
Idaho,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,,
Idaho,2016,2020,Firearm Suicide,All Races/Ethnicities,All Genders,1209,8768269,13.678689956665039
Idaho,2016,2020,Firearm Suicide,All Races/Ethnicities,Male,1038,4395119,23.55179
Idaho,2016,2020,Firearm Suicide,All Races/Ethnicities,Female,171,4373150,4.02608
Idaho,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,,91418,
Idaho,2016,2020,Firearm Suicide,non-Hispanic Black,Male,,51591,
Idaho,2016,2020,Firearm Suicide,non-Hispanic Black,Female,,,
Idaho,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,1115,7289900,14.83818
Idaho,2016,2020,Firearm Suicide,non-Hispanic white,Male,954,3640855,25.49436
Idaho,2016,2020,Firearm Suicide,non-Hispanic white,Female,161,3649045,4.45571
Idaho,2016,2020,Firearm Suicide,Latinx,All Genders,66,1112805,6.16456
Idaho,2016,2020,Firearm Suicide,Latinx,Male,62,573597,11.10382
Idaho,2016,2020,Firearm Suicide,Latinx,Female,,539208,
Idaho,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,22,111613,20.84006
Idaho,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,16,55613,
Idaho,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,,56000,
Idaho,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,,162533,
Idaho,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,,73463,
Idaho,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,,
Illinois,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,7527,63603993,11.897740364074707
Illinois,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,6746,31257034,21.528549194335938
Illinois,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,781,32346959,2.4562900066375732
Illinois,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,3910,9307919,41.17002
Illinois,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,3588,4380423,77.94914
Illinois,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,322,4927496,6.6556
Illinois,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,2737,39329551,6.35038
Illinois,2016,2020,All Firearm Deaths,non-Hispanic white,Male,2358,19337416,11.20106
Illinois,2016,2020,All Firearm Deaths,non-Hispanic white,Female,379,19992135,1.79874
Illinois,2016,2020,All Firearm Deaths,Latinx,All Genders,795,11044548,6.70386
Illinois,2016,2020,All Firearm Deaths,Latinx,Male,720,5646423,11.8898
Illinois,2016,2020,All Firearm Deaths,Latinx,Female,75,5398125,1.29705
Illinois,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,,128593,
Illinois,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,,61851,
Illinois,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,,,
Illinois,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,51,3793382,1.27529
Illinois,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,48,1830921,2.47815
Illinois,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,,1962461,
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,4669,63603993,7.6527299880981445
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,4210,31257034,13.71682
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,459,32346959,1.4904
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,3607,9307919,37.89335
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,3308,4380423,71.49449
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,299,4927496,6.18991
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,394,39329551,1.05051
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,291,19337416,1.59773
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,103,19992135,0.50419
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,All Genders,631,11044548,5.12691
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Male,575,5646423,9.06049
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Female,56,5398125,0.94401
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,,,
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,,,
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,,,
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,17,3793382,
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,17,1830921,
Illinois,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,,
Illinois,2016,2020,Firearm Suicide,All Races/Ethnicities,All Genders,2739,63603993,4.028590202331543
Illinois,2016,2020,Firearm Suicide,All Races/Ethnicities,Male,2438,31257034,7.5486
Illinois,2016,2020,Firearm Suicide,All Races/Ethnicities,Female,301,32346959,0.88598
Illinois,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,256,9307919,2.76719
Illinois,2016,2020,Firearm Suicide,non-Hispanic Black,Male,235,4380423,5.48595
Illinois,2016,2020,Firearm Suicide,non-Hispanic Black,Female,21,4927496,0.43201
Illinois,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,2286,39329551,5.13768
Illinois,2016,2020,Firearm Suicide,non-Hispanic white,Male,2026,19337416,9.39827
Illinois,2016,2020,Firearm Suicide,non-Hispanic white,Female,260,19992135,1.20514
Illinois,2016,2020,Firearm Suicide,Latinx,All Genders,152,11044548,1.46869
Illinois,2016,2020,Firearm Suicide,Latinx,Male,135,5646423,2.67445
Illinois,2016,2020,Firearm Suicide,Latinx,Female,17,5398125,
Illinois,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,,128593,
Illinois,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,,61851,
Illinois,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,,,
Illinois,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,33,3793382,0.80558
Illinois,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,30,1830921,1.52481
Illinois,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,1962461,
Indiana,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,5107,33478921,15.255180358886719
Indiana,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,4353,16509278,26.314350128173828
Indiana,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,754,16969643,4.605999946594238
Indiana,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,1462,3433409,41.16193
Indiana,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,1282,1660305,73.41029
Indiana,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,180,1773104,10.1402
Indiana,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,3399,26692687,12.28036
Indiana,2016,2020,All Firearm Deaths,non-Hispanic white,Male,2857,13135495,20.94418
Indiana,2016,2020,All Firearm Deaths,non-Hispanic white,Female,542,13557192,4.12857
Indiana,2016,2020,All Firearm Deaths,Latinx,All Genders,205,2383389,8.61745
Indiana,2016,2020,All Firearm Deaths,Latinx,Male,179,1230803,14.46794
Indiana,2016,2020,All Firearm Deaths,Latinx,Female,26,1152586,2.35083
Indiana,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,,93984,
Indiana,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,,45677,
Indiana,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,,,
Indiana,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,33,875452,3.19543
Indiana,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,27,436998,5.15654
Indiana,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,,438454,
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,2011,33478921,6.327159881591797
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,1677,16509278,10.46565
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,334,16969643,2.11748
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,1236,3433409,34.63197
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,1094,1660305,62.20099
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,142,1773104,7.98138
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,625,26692687,2.50957
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,452,13135495,3.62642
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,173,13557192,1.39238
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,All Genders,134,2383389,5.40076
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Male,116,1230803,8.80406
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Female,18,1152586,
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,,93984,
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,,45677,
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,,,
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,11,875452,
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,10,436998,
Indiana,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,438454,
Indiana,2016,2020,Firearm Suicide,All Races/Ethnicities,All Genders,2962,33478921,8.514089584350586
Indiana,2016,2020,Firearm Suicide,All Races/Ethnicities,Male,2561,16509278,15.15101
Indiana,2016,2020,Firearm Suicide,All Races/Ethnicities,Female,401,16969643,2.37786
Indiana,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,195,3433409,5.69103
Indiana,2016,2020,Firearm Suicide,non-Hispanic Black,Male,162,1660305,9.82821
Indiana,2016,2020,Firearm Suicide,non-Hispanic Black,Female,33,1773104,1.89971
Indiana,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,2680,26692687,9.41826
Indiana,2016,2020,Firearm Suicide,non-Hispanic white,Male,2324,13135495,16.72127
Indiana,2016,2020,Firearm Suicide,non-Hispanic white,Female,356,13557192,2.61486
Indiana,2016,2020,Firearm Suicide,Latinx,All Genders,63,2383389,2.80839
Indiana,2016,2020,Firearm Suicide,Latinx,Male,56,1230803,4.8698
Indiana,2016,2020,Firearm Suicide,Latinx,Female,,1152586,
Indiana,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,,93984,
Indiana,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,,45677,
Indiana,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,,,
Indiana,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,21,875452,2.02914
Indiana,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,16,436998,
Indiana,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,438454,
Iowa,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,1508,15755180,9.424969673156738
Iowa,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,1345,7841429,16.87693977355957
Iowa,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,163,7913751,2.15162992477417
Iowa,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,164,694450,21.23105
Iowa,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,142,367792,33.51903
Iowa,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,22,326658,6.65301
Iowa,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,1289,13586732,9.12089
Iowa,2016,2020,All Firearm Deaths,non-Hispanic white,Male,1155,6714351,16.48599
Iowa,2016,2020,All Firearm Deaths,non-Hispanic white,Female,134,6872381,2.0246
Iowa,2016,2020,All Firearm Deaths,Latinx,All Genders,32,971362,2.86568
Iowa,2016,2020,All Firearm Deaths,Latinx,Male,29,505708,5.01798
Iowa,2016,2020,All Firearm Deaths,Latinx,Female,,465654,
Iowa,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,,53520,
Iowa,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,,26011,
Iowa,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,,27509,
Iowa,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,16,449116,
Iowa,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,13,227567,
Iowa,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,,221549,
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,291,15755180,2.001800060272217
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,233,7841429,3.15124
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,58,7913751,0.80038
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,135,694450,17.28812
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,117,367792,27.31433
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,18,326658,
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,135,13586732,1.09061
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,98,6714351,1.57071
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,37,6872381,0.5798
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,All Genders,15,971362,
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Male,13,505708,
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Female,,465654,
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,,53520,
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,,26011,
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,,,
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,,449116,
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,,227567,
Iowa,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,221549,
Iowa,2016,2020,Firearm Suicide,All Races/Ethnicities,All Genders,1174,15755180,7.167699813842773
Iowa,2016,2020,Firearm Suicide,All Races/Ethnicities,Male,1072,7841429,13.25151
Iowa,2016,2020,Firearm Suicide,All Races/Ethnicities,Female,102,7913751,1.34392
Iowa,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,23,694450,3.21442
Iowa,2016,2020,Firearm Suicide,non-Hispanic Black,Male,19,367792,
Iowa,2016,2020,Firearm Suicide,non-Hispanic Black,Female,,326658,
Iowa,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,1121,13586732,7.78655
Iowa,2016,2020,Firearm Suicide,non-Hispanic white,Male,1027,6714351,14.46446
Iowa,2016,2020,Firearm Suicide,non-Hispanic white,Female,94,6872381,1.39379
Iowa,2016,2020,Firearm Suicide,Latinx,All Genders,14,971362,
Iowa,2016,2020,Firearm Suicide,Latinx,Male,13,505708,
Iowa,2016,2020,Firearm Suicide,Latinx,Female,,465654,
Iowa,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,,53520,
Iowa,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,,26011,
Iowa,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,,27509,
Iowa,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,11,449116,
Iowa,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,,227567,
Iowa,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,221549,
Kansas,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,2170,14559036,14.97665023803711
Kansas,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,1871,7253358,25.790220260620117
Kansas,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,299,7305678,4.28262996673584
Kansas,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,312,966206,32.07024
Kansas,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,276,499452,53.14765
Kansas,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,36,466754,8.06183
Kansas,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,1579,11205951,13.83738
Kansas,2016,2020,All Firearm Deaths,non-Hispanic white,Male,1348,5536571,23.78633
Kansas,2016,2020,All Firearm Deaths,non-Hispanic white,Female,231,5669380,4.22422
Kansas,2016,2020,All Firearm Deaths,Latinx,All Genders,209,1755431,11.22295
Kansas,2016,2020,All Firearm Deaths,Latinx,Male,183,908031,18.82966
Kansas,2016,2020,All Firearm Deaths,Latinx,Female,26,847400,2.88429
Kansas,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,30,143700,19.82657
Kansas,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,29,70797,39.22083
Kansas,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,,72903,
Kansas,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,23,487748,4.19773
Kansas,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,18,238507,
Kansas,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,,249241,
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,647,14559036,4.711719989776611
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,536,7253358,7.62002
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,111,7305678,1.64008
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,241,966206,24.7095
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,217,499452,41.64424
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,24,466754,5.24196
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,260,11205951,2.56767
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,194,5536571,3.75535
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,66,5669380,1.30861
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,All Genders,116,1755431,6.13289
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Male,98,908031,9.86044
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Female,18,847400,
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,,143700,
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,,70797,
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,,,
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,12,487748,
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,,238507,
Kansas,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,249241,
Kansas,2016,2020,Firearm Suicide,All Races/Ethnicities,All Genders,1470,14559036,9.92251968383789
Kansas,2016,2020,Firearm Suicide,All Races/Ethnicities,Male,1293,7253358,17.63173
Kansas,2016,2020,Firearm Suicide,All Races/Ethnicities,Female,177,7305678,2.47647
Kansas,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,63,966206,6.61835
Kansas,2016,2020,Firearm Suicide,non-Hispanic Black,Male,55,499452,10.85252
Kansas,2016,2020,Firearm Suicide,non-Hispanic Black,Female,,466754,
Kansas,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,1283,11205951,10.99418
Kansas,2016,2020,Firearm Suicide,non-Hispanic white,Male,1123,5536571,19.48585
Kansas,2016,2020,Firearm Suicide,non-Hispanic white,Female,160,5669380,2.83374
Kansas,2016,2020,Firearm Suicide,Latinx,All Genders,86,1755431,4.75501
Kansas,2016,2020,Firearm Suicide,Latinx,Male,80,908031,8.52869
Kansas,2016,2020,Firearm Suicide,Latinx,Female,,847400,
Kansas,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,19,143700,
Kansas,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,18,70797,
Kansas,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,,72903,
Kansas,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,11,487748,
Kansas,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,,238507,
Kansas,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,249241,
Kentucky,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,3848,22304489,17.129819869995117
Kentucky,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,3232,10988756,29.254140853881836
Kentucky,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,616,11315733,5.529620170593262
